observation_date,CPALTT01USQ657N
2013-01-01,0.59032987575582196
2013-04-01,0.54098061186474300
2013-07-01,0.37797934132595390
2013-10-01,-0.27906764611145002
2014-01-01,0.76122252967138793
2014-04-01,1.18086781372786009
2014-07-01,0.11467584447262601
2014-10-01,-0.80335175660554903
2015-01-01,-0.54319900168832602
2015-04-01,1.20559564429960009
2015-07-01,0.26267737384333700
2015-10-01,-0.44984368771111288
2016-01-01,0.06463406580590500
2016-04-01,1.17235055654708020
2016-07-01,0.33268194107489601
2016-10-01,0.22257419716286300
2017-01-01,0.79073696298481089
2017-04-01,0.54351770575001790
2017-07-01,0.39661569138069103
2017-10-01,0.37062963626202600
2018-01-01,0.88611837979280006
2018-04-01,1.03307556684510993
2018-07-01,0.32726756775751098
2018-10-01,-0.05749473625777250
2019-01-01,0.33511603425749298
2019-04-01,1.19851322674610006
2019-07-01,0.27416600784339301
2019-10-01,0.21301799742298100
2020-01-01,0.41942742194710197
2020-04-01,-0.54003541723673198
2020-07-01,1.13148537465284993
2020-10-01,0.22995025016070600
2021-01-01,1.07311440024274996
2021-04-01,2.33978869448352977
2021-07-01,1.60097531391370951
2021-10-01,1.51776142676154024
2022-01-01,2.28346447244156980
2022-04-01,2.97383289846637000
2022-07-01,1.31466214584220009
2022-10-01,0.36716127544967198
2023-01-01,1.04490655671580002
2023-04-01,1.19233217201163000
2023-07-01,0.86642654659931984
2023-10-01,0.10450773813533520
2024-01-01,1.04257554250391848
